No. of Topics, Coherence Score
2, 0.2581912664404484
4, 0.29497919069894873
6, 0.351724017969341
8, 0.3567327904385763
10, 0.37204398698380675
12, 0.3808281901153752
14, 0.400475071727635
16, 0.4059106993400384
18, 0.4046843835584626
20, 0.40893539950009467
22, 0.4292232548865163
24, 0.4317817803313601
26, 0.4311943428675956
28, 0.4225681866119285
30, 0.43620580182131957
32, 0.42798788238186897
34, 0.43600280789436824
36, 0.4364645614771019
38, 0.4355284488174965
40, 0.435707561732252
42, 0.4417337921222379
44, 0.4290503150197432
46, 0.4444787179528973
48, 0.4474373007820181
50, 0.4430554840932544
52, 0.441044517234399
54, 0.4320460927371197
56, 0.4303023363619961
58, 0.43863872449571556
60, 0.4391745181023914
62, 0.43457606288378703
64, 0.441299461748609
66, 0.43879564601041976
68, 0.43613562340753614
70, 0.43194062442287845
72, 0.4444285123449199
74, 0.43109023102632005
76, 0.4397302598698165
78, 0.4372850003029967
80, 0.42764518906259247
82, 0.43500080003123537
84, 0.4311877027724106
86, 0.43058145261479963
88, 0.4211810005624079
90, 0.4335538213880004
92, 0.42913772216454343
94, 0.4258351866777491
96, 0.43232648869722
98, 0.4256332169595269
100, 0.4271227180857116
102, 0.42752600614407527
104, 0.4256840923724497
106, 0.4221675563238882
108, 0.42179835886806205
110, 0.4226220217387769
112, 0.4216938409484085
114, 0.4235916327505747
116, 0.41412608503403076
118, 0.425592937050291
